,name,year,selling_price,km_driven,fuel,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats
0,Maruti Swift Dzire,2014,450000,145500,Diesel,Manual,First ,23,1248,74,5
1,Skoda Rapid 1.5,2014,370000,120000,Diesel,Manual,Second ,21,1498,103.52,5
2,Honda City 2017-2020,2006,158000,140000,Petrol,Manual,Third ,17,1497,78,5
3,Hyundai i20 Sportz,2010,225000,127000,Diesel,Manual,First ,23,1396,90,5
4,Maruti Swift VXI,2007,130000,120000,Petrol,Manual,First ,16,1298,88.2,5
5,Hyundai Xcent 1.2,2017,440000,45000,Petrol,Manual,First ,20,1197,81.86,5
6,Maruti Wagon R,2007,96000,175000,LPG,Manual,First ,17,1061,57.5,5
7,Maruti 800 DX,2001,45000,5000,Petrol,Manual,Second ,16,796,37,4
8,Toyota Etios VXD,2011,350000,90000,Diesel,Manual,First ,23,1364,67.1,5
9,Ford Figo Diesel,2013,200000,169000,Diesel,Manual,First ,20,1399,68.1,5
10,Renault Duster 110PS,2014,500000,68000,Diesel,Manual,Second ,19,1461,108.45,5
11,Maruti Zen LX,2005,92000,100000,Petrol,Manual,Second ,17,993,60,5
12,Maruti Swift Dzire,2009,280000,140000,Diesel,Manual,Second ,19,1248,73.9,5
13,Maruti Wagon R,2009,180000,90000,Petrol,Manual,Second ,18,1061,67,5
14,Mahindra KUV 100,2016,400000,40000,Petrol,Manual,First ,18,1198,82,5
15,Maruti Ertiga SHVS,2016,778000,70000,Diesel,Manual,Second ,24,1248,88.5,7
16,Hyundai i20 1.4,2012,500000,53000,Diesel,Manual,Second ,23,1396,90,5
17,Maruti Alto LX,2002,150000,80000,Petrol,Manual,Second ,19,796,46.3,5
18,Hyundai i20 2015-2017,2016,680000,100000,Diesel,Manual,First ,22,1396,88.73,5
19,Mahindra Verito 1.5,2011,174000,100000,Diesel,Manual,Second ,21,1461,64.1,5
20,Honda WR-V i-DTEC,2017,950000,50000,Diesel,Manual,First ,25,1498,98.6,5
21,Maruti Swift Dzire,2015,525000,40000,Diesel,Manual,First ,26,1248,74,5
22,Maruti SX4 ZDI,2012,600000,72000,Diesel,Manual,First ,21,1248,88.8,5
23,Tata Tigor 2017-2020,2018,500000,35000,Petrol,Manual,First ,20,1199,83.81,5
24,Maruti Baleno Delta,2016,575000,45000,Petrol,Manual,First ,21,1197,83.1,5
25,Maruti Alto 800,2017,275000,28000,Petrol,Manual,First ,24,796,47.3,5
26,Chevrolet Enjoy TCDi,2013,300000,70000,Diesel,Manual,First ,18,1248,73.8,7
27,Maruti Wagon R,2009,220000,120000,Petrol,Manual,First ,18,1061,67,5
28,Maruti Omni E,2018,254999,25000,Petrol,Manual,First ,16,796,34.2,8
29,Maruti Vitara Brezza,2017,670000,70000,Diesel,Manual,First ,24,1248,88.5,5
30,Maruti Omni 8,2012,150000,35000,Petrol,Manual,Second ,14,796,35,5
31,Hyundai i20 1.2,2018,730000,2388,Petrol,Manual,First ,18,1197,81.83,5
32,Maruti Vitara Brezza,2017,650000,16200,Diesel,Manual,First ,24,1248,88.5,5
33,Maruti Alto 800,2019,330000,10000,CNG,Manual,Second ,33,796,40.3,4
34,Maruti Alto K10,2019,366000,15000,Petrol,Manual,First ,23,998,67.1,5
35,Hyundai Verna VTVT,2019,1149000,5000,Petrol,Manual,First ,17,1591,121.3,5
36,Datsun GO D,2016,150000,42000,Petrol,Manual,First ,20,1198,67,5
37,Tata Safari DICOR,2011,425000,60000,Diesel,Manual,Second ,13,2179,138.03,7
38,Maruti 800 Std,2012,150000,76000,Petrol,Manual,First ,16,796,37,4
39,Jeep Compass 1.4,2019,2100000,5000,Petrol,Automatic,First ,16,1368,160.77,5
40,Honda City i,2018,925000,28900,Petrol,Manual,First ,17,1497,117.3,5
41,Honda City V,2013,425000,86300,Petrol,Manual,First ,16,1497,116.3,5
42,Maruti Swift Dzire,2018,675000,23300,Petrol,Automatic,First ,18,1197,83.14,5
43,Maruti Vitara Brezza,2018,819999,32600,Diesel,Manual,First ,24,1248,88.5,5
44,Maruti Alto K10,2018,390000,10300,Petrol,Manual,First ,23,998,67.05,5
45,Toyota Fortuner 4x4,2014,1500000,77000,Diesel,Manual,First ,12,2982,168.5,7
46,Toyota Innova 2.5,2013,700000,99000,Diesel,Manual,First ,12,2494,100,7
47,Mercedes-Benz B Class,2014,1450000,27800,Diesel,Automatic,Second ,14,2143,120.7,5
48,Honda Amaze S,2015,425000,49800,Diesel,Manual,First ,24,1498,98.63,5
49,Mitsubishi Pajero Sport,2013,1090000,151000,Diesel,Manual,First ,13,2477,175.56,7
50,Honda City i,2015,600000,54700,Diesel,Manual,First ,26,1498,98.6,5
